Zeitstempel	CPU_Temp	GPU_Temp	MB_Temp	SSD_Temp	CPU_Fan	Vcore	V12	V5	V3_3	VBAT	CPU_Pct	RAM_Pct	RAM_GB	Disk_Pct	Disk_Health	Alerts
2026-03-30 13:55:50															Healthy	
2026-03-30 13:55:55															Healthy	
2026-03-30 13:56:00															Healthy	
2026-03-30 13:56:05															Healthy	
2026-03-30 13:56:10															Healthy	
2026-03-30 13:56:15															Healthy	
2026-03-30 13:56:20															Healthy	
2026-03-30 13:56:25															Healthy	
2026-03-30 13:56:30															Healthy	
2026-03-30 13:56:35															Healthy	
2026-03-30 13:56:40															Healthy	
2026-03-30 13:56:45															Healthy	
2026-03-30 13:56:50															Healthy	
2026-03-30 13:56:55															Healthy	
2026-03-30 13:57:00															Healthy	
2026-03-30 13:57:05															Healthy	
2026-03-30 13:57:10															Healthy	
2026-03-30 13:57:15															Healthy	
2026-03-30 13:57:20															Healthy	
2026-03-30 13:57:26															Healthy	
2026-03-30 13:57:31															Healthy	
2026-03-30 13:59:03															Healthy	
2026-03-30 13:59:08															Healthy	
2026-03-30 13:59:13															Healthy	
2026-03-30 13:59:18															Healthy	
2026-03-30 13:59:23															Healthy	
2026-03-30 13:59:28															Healthy	
2026-03-30 13:59:33															Healthy	
2026-03-30 13:59:38															Healthy	
2026-03-30 13:59:43															Healthy	
2026-03-30 13:59:48															Healthy	
2026-03-30 13:59:53															Healthy	
2026-03-30 13:59:58															Healthy	
2026-03-30 14:00:03															Healthy	
2026-03-30 14:00:08															Healthy	
